,companyName,url,address,tel,fax,website,year,ust,employee,detail,txt
0,ELMEKO GmbH + Co. KG,https://de.kompass.com/c/elmeko-gmbh-co-kg/de504642/,Graf-Zeppelin-Str. 5 56479 Liebenscheid,49,+49 2736 50974830,http://www.elmeko.de,2004,DE814139072,10 Mitarbeiter,"Komponenten für den Schaltschrank:  Schaltschrank-Klimatisierung, Peltier-Kühlhgeräte, Schaltschrankheizungen, Lüfter, Kühlgeräte, Schaltschrankleuchten, LED-Leuchten, Schaltplantaschen, Steckdosen, Massebänder  Kühlgeräte für Schaltschränke; Lüfter für Schaltschränke; Entfeuchtungsgeräte ",Dipl.-Ing. Burkhard  Herr  Geschäftsführung  Sprachkenntnisse  Deutsch  Herr David  Streit  Vertriebsleitung  Sprachkenntnisse  Deutsch  Herr Stephan  Thomas  Einkaufsleitung  Sprachkenntnisse  Deutsch
1,CNC-Präzisionstechnik Schmidt & Kexel GmbH,https://de.kompass.com/c/schmidt-kexel-gmbh/de600552/,Westerburger Straße 38 b 56470 Bad Marienberg,49,+49 2661 985518,http://www.sk-cnc.de,1982,DE243964186,Amtsgericht Montabaur HRB: 20057,"Fertigung von kundenspezifischen Drehteilen nach Zeichnung in mittleren und kleinen Losgrössen in allen zerspanbaren Werkstoffen. Im Drehbereich bis zu 65 mm von der Stange und bis zu 200 mm im Spannfutter. Antriebstechnik, Einschraubnippel, Generatorenbau, Anlagenbau, Flansche, Muttern, Stutzen.  Flansche, Metall ",Herr Lothar  Schmidt  Geschäftsführung  Frau Petra  Kexel  Geschäftsführung
2,ZENO Zerkleinerungsmaschinenbau Norken GmbH,https://de.kompass.com/c/zeno-zerkleinerungsmaschinenbau-norken-gmbh/de642444/,ZENO-Platz 1 57629 Norken,49,+49 2661 959647,http://www.zeno.de,1978,DE147998020,Amtsgericht Montabaur  Registernummer: HRB 1993,"Herstellung und Vertrieb von Holzzerkleinerungsmaschinen, Speiseresteaufbereitungsanlagen, Biomüllaufbereitungsanlagen, Kunststoffzerkleinerungsmaschinen, Müllsortieranlagen, Förderanlagen, Sortieranlagen, Siebanlagen und Recyclinganlagen zur Restmüll, Datenträgervernichtungsanlagen, Hausmüll und Sperrmüllverwertung, Reifenzerkleinerungsanlagen, Ersatzbrennstoff-Aufbereitungsanlagen, Kunststoffaufbereitung. ",Richarda  Krüger  Geschäftsführung
3,Max Krüger GmbH & Co. KG,https://de.kompass.com/c/max-kruger-gmbh-co-kg/de622857/,Bahnhofstr. 18 56424 Moschheim,49,+49 2602 940850,http://www.mkm-keramik.de,1973,DE149322620,Von 20 bis 49 Mitarbeiter,Herstellung von Keramikkrügen und Keramiktöpfen für die Getränkeindustrie und Lebensmittelindustrie ,Herr Wolfgang  Krüger  Geschäftsführung
4,Reifen Specht Handels GmbH,https://de.kompass.com/c/reifen-specht-handels-gmbh/de622806/,Am Kirchenwald 1 56235 Ransbach-Baumbach,49,+49 2623 9243  139,http://www.Reifen-Specht.de,1980,DE811936308,Von 50 bis 99 Mitarbeiter,Reifenhandel ,Rosel  Specht  Geschäftsführung
5,Biron - Büro für IT-Implementierung,https://de.kompass.com/c/biron-buro-fur-it-implementierung/de504312/,Birkenweg 5 56479 Liebenscheid,49,+49 3212 1049507,,2004,DE268631539,DE504312,"Prozessoptimierung, Prozessmanagement, Softwareeinführung, Projektmanagement, ERP, PPS, Barcode, Lagerverwaltung. SAP Migration.  Gestalten prozesssicherer Abläufe - Implementieren intelligenter  Systeme.  Wir helfen Kunden im Mittelstand Prozesse zu verbessern und neue Systeme effiziert und prozesssicher zu implementieren. ",Herr Norbert  Biron  Geschäftsführung
6,zebo Fußbodenbau GmbH,https://de.kompass.com/c/zebo-fussbodenbau-gmbh/de505874/,Rheinstraße 24 b 56249 Herschbach,49,"+49 2626 970324, 2626 970328",http://www.zebo-fussbodenbau.de,1984,DE149319169,Von 20 bis 49 Mitarbeiter,Fussbodenbau ,Herr Wolfgang  Frensch  Geschäftsführung
7,Seelbach International GmbH,https://de.kompass.com/c/seelbach-international-gmbh/de505887/,Hauptstraße 20 56477 Rennerod,49,+49 2664 912810,http://www.seelbach-international.com,,DE813481480,keine Angabe,"Werkzeuge für die Natursteinbearbeitung, Bodenschleiftechnik und Staubfreisysteme ",Herr Uwe  Lindemann  Geschäftsführung
8,ESTIMATE Kunststoffteile GmbH,https://de.kompass.com/c/estimate-kunststoffteile-gmbh/de631501/,Zur Helenenruh 3 57627 Hachenburg,49,+49 2662 4117,http://www.esti.de,1984,DE147999862,Von 10 bis 19 Mitarbeiter,"Herstellung, Bearbeitung und Verarbeitung von Kunststoffteilen sowie der Handel mit diesen Produkten. ",Herr Robert Frank  Justen  Geschäftsführung
9,Kaiser Werkzeugbau GmbH,https://de.kompass.com/c/kaiser-werkzeugbau-gmbh/de636620/,Gewerbegebiet 56244 Helferskirchen,49,+49 2626 924320,http://www.kaiser-wzb.de,1984,DE811406672,"DE811406672




Firma anrufen
×








---


                        Service 
                        
Anrufkosten





* Diese Telefonnummer steht Ihnen für 5 min zur Verfügung. Dies ist nicht die Nummer der Kontaktperson, sondern eine Service Rufnummer, die Sie zu der gewünschten Person durchstellt.
                Dies ist ein Kompass SErvice. 
                Warum diese Nummer?









Derzeit sind alle Leitungen belegt, bitte versuchen Sie es später noch einmal.",Werkzeugbau sowie die Herstellung und der Vertrieb von feinmechanischen Produkten und artverwandten Artikeln. ,Thomas  Kaiser  Geschäftsführung
